Date,Mean Pressure (hPa),Cheung Chau,Hong Kong International Airport,Hong Kong Observatory,Lau Fau Shan,Shek Kong,Sha Tin,Ta Kwu Ling,Waglan Island
2006-02-07,1021.575,1021.5,1021.4,1021.7,1021.6,1021.7,1021.3,1021.9,1021.5
2006-02-08,1025.4125,1025.3,1025.1,1025.7,1025.3,1025.4,1025.4,1025.9,1025.2
2006-02-09,1027.2375,1027.2,1027,1027.5,1027.1,1027.2,1027.2,1027.7,1027
2006-02-10,1022.7,1022.6,1022.7,1022.8,1022.8,1022.7,1022.3,1023.1,1022.6
2006-02-11,1019.5125,1019.5,1019.5,1019.6,1019.6,1019.6,1019.1,1019.8,1019.4
2006-02-12,1020.65,1020.6,1020.4,1021,1020.5,1020.5,1020.7,1021.1,1020.4
2006-02-13,1018.525,1018.4,1018.2,1018.8,1018.5,1018.5,1018.4,1019,1018.4
2006-02-14,1015.325,1015.2,1015.1,1015.5,1015.3,1015.4,1015.1,1015.7,1015.3
2006-02-15,1012.7875,1012.8,1012.6,1013,1012.8,1012.9,1012.4,1012.9,1012.9
2006-02-16,1015.0125,1015,1015,1015.1,1015.1,1015.3,1014.6,1015.1,1014.9
2006-02-17,1020.8375,1020.6,1020.7,1020.9,1021,1021.1,1020.6,1021.4,1020.4
2006-02-18,1020.975,1020.5,1021.1,1020.8,1021.5,1021.3,1020.6,1021.6,1020.4
2006-02-19,1019.6375,1019.3,1020,1019.5,1020.2,1019.6,1019.2,1020.1,1019.2
2006-02-20,1019.2875,1019.1,1019.6,1019.3,1019.7,1019.2,1018.8,1019.6,1019
2006-02-21,1017.475,1017.5,1017.3,1017.7,1017.5,1017.3,1017.2,1017.8,1017.5
2006-02-22,1017.075,1017,1017.1,1017.1,1017.2,1017.3,1016.6,1017.4,1016.9
2006-02-23,1018.725,1018.5,1018.7,1018.8,1018.8,1018.9,1018.4,1019.2,1018.5
2006-02-24,1018.2875,1018.1,1018.1,1018.5,1018.2,1018.4,1018.1,1018.8,1018.1
2006-02-25,1015.1375,1015,1015.1,1015.3,1015.2,1015.2,1014.8,1015.5,1015
2006-02-26,1015.2,1015,1015.2,1015.2,1015.3,1015.2,1015,1015.7,1015
2006-02-27,1016.4375,1016.4,1016.1,1016.7,1016.4,1015.8,1016.7,1017,1016.4
2006-02-28,1017.25,1016.7,1017.6,1017.1,1017.8,1017.4,1017,1017.9,1016.5
2006-03-01,1020.9,1020,1021.6,1020.7,1021.8,1020.9,1020.5,1021.9,1019.8
2006-03-02,1021.275,1021.1,1021.5,1021.3,1021.7,1020.8,1021,1021.8,1021
2006-03-03,1019.9125,1019.9,1019.9,1020.1,1020.1,1019.5,1019.7,1020.3,1019.8
2006-03-04,1019.0625,1018.9,1018.9,1019.3,1019.2,1018.7,1019,1019.6,1018.9
2006-03-05,1017.375,1017.3,1017.4,1017.5,1017.6,1017.2,1017.1,1017.7,1017.2
2006-03-06,1015.425,1015.3,1015.5,1015.6,1015.6,1015.4,1015,1015.7,1015.3
2006-03-07,1015.0625,1015,1014.9,1015.4,1015,1014.9,1014.8,1015.4,1015.1
2006-03-08,1016.325,1016.3,1016,1016.7,1016.2,1016.2,1016.1,1016.6,1016.5
2006-03-09,1016.375,1016.4,1016.4,1016.5,1016.4,1016.5,1015.9,1016.6,1016.3
2006-03-10,1015.3875,1015.4,1015,1015.7,1015.2,1015.4,1015.2,1015.7,1015.5
2006-03-11,1012.4125,1012.4,1012.1,1012.7,1012.2,1012.5,1012.2,1012.7,1012.5
2006-03-12,1012.1375,1011.9,1012,1012.2,1012.2,1012.4,1011.9,1012.5,1012
2006-03-13,1021.7625,1021.1,1022.1,1021.5,1022.4,1022.1,1021.5,1022.6,1020.8
2006-03-14,1022.75,1022.5,1023,1022.6,1023.3,1022.4,1022.7,1023.3,1022.2
2006-03-15,1017.625,1017.5,1017.6,1017.7,1017.8,1017.2,1017.9,1017.9,1017.4
2006-03-16,1012.85,1012.7,1013,1012.8,1013,1012.8,1012.9,1013,1012.6
2006-03-17,1011.725,1011.6,1011.2,1012.1,1011.3,1011.5,1012.2,1012,1011.9
2006-03-18,1012.5,1012.5,1012.3,1012.6,1012.4,1012.5,1012.7,1012.5,1012.5
2006-03-19,1014.7125,1014.6,1014.3,1014.8,1014.5,1014.6,1015.2,1015,1014.7
2006-03-20,1014.9375,1014.8,1014.2,1015.2,1014.5,1014.7,1015.6,1015.4,1015.1
2006-03-21,1010.9625,1010.9,1010.5,1011.2,1010.7,1010.8,1011.3,1011.2,1011.1
2006-03-22,1009.3,1009.2,1008.9,1009.6,1009,1009.2,1009.6,1009.5,1009.4
2006-03-23,1008.5625,1008.5,1008.3,1008.7,1008.4,1008.6,1008.8,1008.7,1008.5
2006-03-24,1012.425,1012.2,1012.1,1012.5,1012.4,1012.3,1012.9,1012.7,1012.3
2006-03-25,1013.3,1013.1,1012.8,1013.5,1013.3,1013,1013.8,1013.6,1013.3
2006-03-26,1011.9875,1011.7,1011.7,1012.1,1011.9,1011.8,1012.4,1012.3,1012
2006-03-27,1010.975,1010.7,1010.8,1011.1,1010.9,1010.9,1011.3,1011.2,1010.9
2006-03-28,1014.325,1014,1014.4,1014.3,1014.5,1014.3,1014.5,1014.6,1014
2006-03-29,1016.2,1016,1015.9,1016.4,1016.1,1016.1,1016.6,1016.6,1015.9
2006-03-30,1016.1125,1016,1015.6,1016.3,1015.9,1016,1016.5,1016.5,1016.1
2006-03-31,1014,1014,1013.5,1014.3,1013.7,1013.9,1014.4,1014.2,1014
2006-04-01,1011.7375,1011.7,1011.5,1011.9,1011.6,1011.8,1011.9,1011.8,1011.7
2006-04-02,1012.5,1012.4,1012.4,1012.5,1012.5,1012.7,1012.6,1012.6,1012.3
2006-04-03,1011.875,1011.9,1011.6,1012,1011.7,1011.9,1012.1,1011.9,1011.9
2006-04-04,1010.4,1010.5,1010.2,1010.5,1010.3,1010.5,1010.5,1010.4,1010.3
2006-04-05,1009.675,1009.7,1009.5,1009.8,1009.6,1009.8,1009.8,1009.6,1009.6
2006-04-06,1012.275,1012.2,1011.9,1012.5,1012,1012.3,1012.5,1012.4,1012.4
2006-04-07,1014.55,1014.3,1014.3,1014.6,1014.5,1014.7,1014.8,1014.8,1014.4
2006-04-08,1013.5375,1013.4,1013.2,1013.7,1013.4,1013.5,1013.9,1013.8,1013.4
2006-04-09,1010.5375,1010.6,1010.1,1010.7,1010.3,1010.6,1010.8,1010.6,1010.6
2006-04-10,1007.725,1007.8,1007.5,1008,1007.5,1007.9,1007.8,1007.7,1007.6
2006-04-11,1007.8625,1007.9,1007.6,1008.1,1007.6,1008,1008,1007.9,1007.8
2006-04-12,1006.6,1006.6,1006.3,1006.8,1006.4,1006.8,1006.7,1006.7,1006.5
2006-04-13,1011.3375,1010.7,1011.7,1011,1011.7,1011.9,1011.4,1011.7,1010.6
2006-04-14,1016.1125,1015.6,1016.2,1015.7,1016.6,1016.5,1016.2,1016.7,1015.4
2006-04-15,1016.9,1016,1017.3,1016.5,1017.6,1017.3,1017,1017.6,1015.9
2006-04-16,1016.6875,1016.4,1016.7,1016.6,1017,1016.6,1016.9,1017.1,1016.2
2006-04-17,1015.075,1015,1014.8,1015.2,1015,1014.8,1015.4,1015.4,1015
2006-04-18,1014.9875,1014.9,1014.7,1015.1,1014.9,1015,1015.2,1015.2,1014.9
2006-04-19,1014.65,1014.6,1014.6,1014.6,1014.7,1014.8,1014.7,1014.8,1014.4
2006-04-20,1014.225,1014.2,1013.9,1014.4,1014,1014.3,1014.5,1014.4,1014.1
2006-04-21,1011.725,1011.7,1011.3,1012,1011.4,1011.7,1012,1011.9,1011.8
2006-04-22,1008.7625,1008.9,1008.6,1008.9,1008.5,1008.9,1008.9,1008.7,1008.7
2006-04-23,1009.3375,1009.4,1009.1,1009.4,1009.2,1009.6,1009.4,1009.4,1009.2
2006-04-24,1011.3,1011.2,1010.9,1011.6,1011,1011.4,1011.7,1011.4,1011.2
2006-04-25,1010.775,1010.8,1010.2,1011.1,1010.3,1010.7,1011.3,1011,1010.8
2006-04-26,1008.7625,1008.8,1008.5,1008.9,1008.6,1008.9,1008.9,1008.8,1008.7
2006-04-27,1009.1625,1009.1,1009,1009.3,1009.1,1009.3,1009.3,1009.2,1009
2006-04-28,1009.75,1009.5,1009.5,1009.8,1009.8,1009.9,1010.1,1010,1009.4
2006-04-29,1011,1010.9,1010.8,1011,1011.1,1011.1,1011.2,1011.1,1010.8
2006-04-30,1010.7625,1010.8,1010.6,1010.8,1010.8,1010.8,1010.9,1010.8,1010.6
2006-05-01,1009.4875,1009.5,1009.3,1009.7,1009.4,1009.6,1009.6,1009.4,1009.4
2006-05-02,1010.1375,1010,1009.9,1010.2,1010.1,1010.3,1010.3,1010.2,1010.1
2006-05-03,1012.95,1012.7,1012.6,1013.1,1013,1013,1013.3,1013.2,1012.7
2006-05-04,1013.35,1013.3,1012.8,1013.6,1013.1,1013.2,1013.9,1013.5,1013.4
2006-05-05,1011.575,1011.6,1011.2,1011.8,1011.4,1011.6,1011.8,1011.6,1011.6
2006-05-06,1010.1375,1010.2,1009.9,1010.3,1010,1010.4,1010.2,1010,1010.1
2006-05-07,1010.3125,1010.3,1010.1,1010.4,1010.3,1010.5,1010.4,1010.3,1010.2
2006-05-08,1011.2,1011.2,1011,1011.3,1011.1,1011.4,1011.3,1011.2,1011.1
2006-05-09,1009.9,1009.9,1009.7,1010,1009.8,1010.1,1010,1009.9,1009.8
2006-05-10,1010.0875,1010.1,1010,1010.1,1010.1,1010.3,1010.1,1010.1,1009.9
2006-05-11,1012.8125,1012.7,1012.5,1012.9,1012.7,1013,1013.1,1013,1012.6
2006-05-12,1013.875,1013.8,1013.6,1014,1013.8,1013.9,1014.1,1014.1,1013.7
2006-05-13,1013.1625,1012.8,1013.2,1012.9,1013.4,1013.5,1013.3,1013.6,1012.6
2006-05-14,1013.9875,1013.5,1014,1013.7,1014.3,1014.5,1014.1,1014.5,1013.3
2006-05-15,1011.05,1010.7,1010.9,1010.9,1011.2,1011.5,1011.2,1011.5,1010.5
2006-05-16,1007.425,1006.6,1007.5,1007.1,1007.9,1008.1,1007.8,1008.2,1006.2
2006-05-17,1000.2,999.1,1001.5,999.6,1001.4,1001.4,1000.4,1001,997.2
2006-05-18,1005.95,1005.7,1006.2,1005.7,1006.2,1006.3,1006,1006.2,1005.3
2006-05-19,1009.0125,1009,1008.8,1009,1009,1009.2,1009.2,1009.2,1008.7
2006-05-20,1011.0375,1010.9,1010.7,1011.1,1011,1011.2,1011.4,1011.3,1010.7
2006-05-21,1009.9875,1009.8,1009.5,1010.2,1010,1010,1010.4,1010.3,1009.7
2006-05-22,1008.8375,1008.9,1008.6,1009,1008.8,1008.9,1009,1008.8,1008.7
2006-05-23,1009.9875,1010,1009.9,1010,1010,1010.1,1010.1,1010,1009.8
2006-05-24,1010.3875,1010.4,1010.2,1010.5,1010.3,1010.4,1010.6,1010.4,1010.3
2006-05-25,1010.4875,1010.6,1010.3,1010.6,1010.4,1010.6,1010.6,1010.4,1010.4
2006-05-26,1010.8875,1011,1010.7,1011,1010.8,1011,1011,1010.8,1010.8
2006-05-27,1009.975,1010,1009.8,1010.1,1009.9,1010.1,1010.1,1010,1009.8
2006-05-28,1008.025,1008,1008,1008.1,1008.1,1008.2,1008.1,1008,1007.7
2006-05-29,1007.875,1007.7,1007.5,1007.9,1008,1007.9,1008.2,1008.2,1007.6
2006-05-30,1008.5125,1008.5,1008.3,1008.7,1008.5,1008.4,1008.8,1008.5,1008.4
2006-05-31,1008.6625,1008.6,1008.4,1008.9,1008.6,1008.7,1008.9,1008.7,1008.5
2006-06-01,1008.025,1008.1,1007.9,1008.2,1008,1008.1,1008.1,1008,1007.8
2006-06-02,1008.3,1008.2,1008.1,1008.4,1008.4,1008.4,1008.5,1008.4,1008
2006-06-03,1007.8375,1007.9,1007.7,1008,1007.8,1007.9,1007.9,1007.8,1007.7
2006-06-04,1006.5,1006.6,1006.3,1006.8,1006.4,1006.6,1006.6,1006.4,1006.3
2006-06-05,1005.5375,1005.6,1005.4,1005.7,1005.5,1005.7,1005.6,1005.5,1005.3
2006-06-06,1004.8125,1005,1004.7,1005,1004.7,1005,1004.9,1004.7,1004.5
2006-06-07,1004.325,1004.5,1004.1,1004.6,1004.3,1004.5,1004.3,1004.3,1004
2006-06-08,1002.3625,1002.5,1002.3,1002.5,1002.3,1002.6,1002.3,1002.3,1002.1
2006-06-09,1000.675,1000.6,1000.6,1000.7,1000.8,1001,1000.7,1000.8,1000.2
2006-06-10,1003.5125,1003.5,1003.6,1003.6,1003.6,1003.7,1003.5,1003.5,1003.1
2006-06-11,1006.4125,1006.4,1006.1,1006.6,1006.3,1006.3,1006.7,1006.6,1006.3
2006-06-12,1006.5125,1006.5,1006.3,1006.7,1006.5,1006.5,1006.7,1006.6,1006.3
2006-06-13,1006.625,1006.7,1006.4,1006.8,1006.6,1006.7,1006.7,1006.6,1006.5
2006-06-14,1006.2125,1006.4,1006.1,1006.4,1006.2,1006.3,1006.1,1006.1,1006.1
2006-06-15,1005.3125,1005.5,1005.2,1005.5,1005.3,1005.4,1005.3,1005.3,1005
2006-06-16,1006.125,1006.3,1006,1006.3,1006.1,1006.3,1006,1006,1006
2006-06-17,1007.65,1007.8,1007.5,1007.8,1007.7,1007.8,1007.6,1007.5,1007.5
2006-06-18,1009.025,1009.1,1008.9,1009.1,1009.1,1009.2,1009,1009.1,1008.7
2006-06-19,1010.0625,1010,1010,1010.1,1010.2,1010.3,1010.1,1010.1,1009.7
2006-06-20,1010.3625,1010.4,1010.2,1010.4,1010.5,1010.5,1010.4,1010.4,1010.1
2006-06-21,1009.5375,1009.6,1009.4,1009.7,1009.6,1009.6,1009.6,1009.5,1009.3
2006-06-22,1007.925,1008,1007.8,1008,1008,1008.1,1007.9,1008,1007.6
2006-06-23,1008,1008.2,1007.9,1008.1,1008.1,1008.1,1007.9,1007.9,1007.8
2006-06-24,1008.9,1009.1,1008.8,1009.1,1008.9,1009,1008.8,1008.8,1008.7
2006-06-25,1008.95,1009.2,1008.9,1009.1,1008.9,1009.1,1008.8,1008.8,1008.8
2006-06-26,1008.4375,1008.6,1008.3,1008.5,1008.5,1008.6,1008.4,1008.4,1008.2
2006-06-27,1006.95,1007,1006.8,1007,1007,1007.2,1007,1007,1006.6
2006-06-28,1006.175,1006.1,1005.9,1006.2,1006.3,1006.4,1006.4,1006.3,1005.8
2006-06-29,1006.5875,1006.6,1006.3,1006.8,1006.6,1006.7,1006.7,1006.6,1006.4
2006-06-30,1008.3875,1008.4,1008.1,1008.6,1008.4,1008.5,1008.6,1008.4,1008.1
2006-07-01,1009.057143,1009.1,1008.7,1009.2,1009,1009.1,1009.2,1009.1,***
2006-07-02,1008.342857,1008.4,1008.1,1008.4,1008.4,1008.4,1008.4,1008.3,***
2006-07-03,1007.214286,1007.2,1006.9,1007.3,1007.1,1007.4,1007.4,1007.2,***
2006-07-04,1005.6625,1005.7,1005.4,1005.8,1005.7,1005.9,1005.7,1005.6,1005.5
2006-07-05,1005.275,1005.4,1005.1,1005.4,1005.3,1005.4,1005.3,1005.1,1005.2
2006-07-06,1003.5875,1003.7,1003.4,1003.7,1003.6,1003.8,1003.6,1003.5,1003.4
2006-07-07,1001.8125,1002,1001.7,1002,1001.8,1002,1001.7,1001.7,1001.6
2006-07-08,1000.5875,1000.7,1000.5,1000.8,1000.6,1000.8,1000.5,1000.5,1000.3
2006-07-09,1000.025,1000.1,999.9,1000.2,1000,1000.2,1000,1000,999.8
2006-07-10,1001.3125,1001.4,1001.1,1001.5,1001.3,1001.5,1001.3,1001.3,1001.1
2006-07-11,1002.6625,1002.7,1002.4,1002.8,1002.7,1002.9,1002.7,1002.7,1002.4
2006-07-12,1000.9625,1001.1,1000.9,1001.1,1001.1,1001.2,1000.8,1000.8,1000.7
2006-07-13,996.875,997,997,997,997.1,997.2,996.6,996.8,996.3
2006-07-14,994.3875,994.7,994.4,994.5,994.4,994.6,994.3,994.2,994
2006-07-15,997.25,997.4,997.1,997.6,997.1,997.5,997.3,997.1,996.9
2006-07-16,1000.675,1000.7,1000.4,1001.1,1000.6,1000.8,1000.7,1000.7,1000.4
2006-07-17,1004.4,1004.4,1004.1,1004.7,1004.3,1004.6,1004.5,1004.4,1004.2
2006-07-18,1008.7,1008.8,1008.5,1008.9,1008.7,1008.8,1008.7,1008.6,1008.6
2006-07-19,1008.5,1008.6,1008.4,1008.6,1008.6,1008.6,1008.4,1008.4,1008.4
2006-07-20,1006.7375,1006.8,1006.7,1006.9,1006.9,1006.9,1006.6,1006.6,1006.5
2006-07-21,1005.875,1006,1005.8,1006,1006,1006.1,1005.7,1005.8,1005.6
2006-07-22,1005.275,1005.3,1005.2,1005.4,1005.4,1005.5,1005.3,1005.3,1004.8
2006-07-23,1004.05,1004.2,1004,1004.1,1004.2,1004.3,1004,1004,1003.6
2006-07-24,1001.9375,1002,1002,1002,1002.1,1002.3,1001.8,1001.9,1001.4
2006-07-25,999.5125,999.7,999.6,999.6,999.7,999.9,999.2,999.4,999
2006-07-26,1000.275,1000.3,1000.2,1000.4,1000.4,1000.6,1000.1,1000.3,999.9
2006-07-27,1002.225,1002.2,1002,1002.4,1002.3,1002.4,1002.3,1002.2,1002
2006-07-28,1003.425,1003.3,1003.1,1003.6,1003.5,1003.5,1003.6,1003.6,1003.2
2006-07-29,1007.7625,1007.4,1007.4,1008,1007.9,1007.8,1008.1,1008,1007.5
2006-07-30,1010.242857,***,1010,1010.4,1010.4,1010.3,1010.4,1010.3,1009.9
2006-07-31,1009.15,1008.3,1009.1,1009.4,1009.4,1009.3,1009.3,1009.4,1009
2006-08-01,1005.6625,1004.2,1005.7,1006,1006,1006,1005.9,1005.9,1005.6
2006-08-02,1001.725,1001,1001.4,1001.7,1002.2,1002.1,1002.2,1002.4,1000.8
2006-08-03,998.8125,997.6,997.8,999.2,998.9,999,1000.1,999.6,998.3
2006-08-04,1004.6375,1004.4,1004.1,1005,1004.6,1004.6,1005,1004.8,1004.6
2006-08-05,1006.7125,1006.6,1006.5,1006.9,1006.8,1006.7,1006.9,1006.8,1006.5
2006-08-06,1006.425,1006.4,1006.2,1006.6,1006.5,1006.5,1006.5,1006.5,1006.2
2006-08-07,1004.65,1004.7,1004.6,1004.7,1004.8,1004.7,1004.7,1004.6,1004.4
2006-08-08,1003.625,1003.6,1003.6,1003.7,1003.8,1003.7,1003.6,1003.6,1003.4
2006-08-09,1001.925,1001.9,1001.9,1002,1002.1,1002,1001.9,1002,1001.6
2006-08-10,1000.6625,1000.6,1000.8,1000.7,1000.9,1000.8,1000.6,1000.7,1000.2
2006-08-11,1002.1875,1002,1002,1002.3,1002.3,1002.2,1002.4,1002.4,1001.9
2006-08-12,1004.875,1004.8,1004.7,1005,1005,1004.9,1005,1005,1004.6
2006-08-13,1004.8375,1004.8,1004.7,1005,1004.9,1004.8,1004.9,1004.9,1004.7
2006-08-14,1003.9875,1004,1003.8,1004.1,1004,1004,1004.1,1004.1,1003.8
2006-08-15,1003.6625,1003.6,1003.5,1003.8,1003.7,1003.7,1003.7,1003.8,1003.5
2006-08-16,1004.1625,1004.2,1004,1004.3,1004.2,1004.2,1004.1,1004.2,1004.1
2006-08-17,1004.575,1004.6,1004.5,1004.7,1004.7,1004.7,1004.5,1004.6,1004.3
2006-08-18,1004,1004.1,1004,1004.1,1004.1,1004.1,1003.9,1004,1003.7
2006-08-19,1005.1875,1005.2,1005.3,1005.2,1005.5,1005.4,1005,1005.3,1004.6
2006-08-20,1003.9625,1004,1003.9,1004,1004.1,1004.1,1003.9,1004,1003.7
2006-08-21,1004.3125,1004.3,1004.1,1004.4,1004.4,1004.4,1004.4,1004.4,1004.1
2006-08-22,1004.8375,1004.8,1004.6,1004.9,1004.9,1005,1004.9,1005,1004.6
2006-08-23,1005.35,1005.3,1005.2,1005.4,1005.4,1005.5,1005.4,1005.4,1005.2
2006-08-24,1005.4125,1005.2,1005.1,1005.5,1005.5,1005.6,1005.6,1005.7,1005.1
2006-08-25,1006.85,1006.7,1006.6,1007,1006.9,1007,1007,1007,1006.6
2006-08-26,1007.625,1007.6,1007.4,1007.8,1007.7,1007.7,1007.7,1007.6,1007.5
2006-08-27,1008.4875,1008.5,1008.3,1008.6,1008.6,1008.6,1008.5,1008.5,1008.3
2006-08-28,1008.7375,1008.6,1008.5,1008.8,1008.8,1008.9,1008.9,1008.9,1008.5
2006-08-29,1010.6875,1010.7,1010.5,1010.8,1010.7,1010.8,1010.8,1010.6,1010.6
2006-08-30,1010.825,1010.9,1010.7,1010.9,1010.9,1011,1010.8,1010.8,1010.6
2006-08-31,1007.8625,1007.9,1007.9,1007.9,1008,1008.1,1007.8,1007.8,1007.5
2006-09-01,1005.9625,1006,1006,1006.1,1006.1,1006.2,1005.9,1005.8,1005.6
2006-09-02,1006.1,1006.1,1006,1006.3,1006.2,1006.3,1006,1006.1,1005.8
2006-09-03,1006.075,1006.1,1006,1006.2,1006.2,1006.3,1006,1006,1005.8
2006-09-04,1006.3875,1006.4,1006.3,1006.5,1006.5,1006.6,1006.3,1006.4,1006.1
2006-09-05,1007.075,1007.1,1007,1007.2,1007.1,1007.3,1007.1,1007,1006.8
2006-09-06,1007.3625,1007.3,1007.3,1007.4,1007.6,1007.7,1007.2,1007.4,1007
2006-09-07,1007.8,1007.8,1007.7,1007.9,1007.9,1008,1007.8,1007.8,1007.5
2006-09-08,1008.3125,1008.3,1008.2,1008.4,1008.3,1008.5,1008.4,1008.3,1008.1
2006-09-09,1009.55,1009.2,1009.6,1009.6,1009.8,1009.9,1009.6,1009.7,1009
2006-09-10,1010.75,1009.9,1011.2,1010.5,1011.4,1011.4,1010.8,1011.2,1009.6
2006-09-11,1008.7125,1007.9,1009.1,1008.5,1009.3,1009.3,1008.8,1009.3,1007.5
2006-09-12,1008.9875,1007.9,1009.5,1008.6,1009.8,1009.8,1009.1,1009.7,1007.5
2006-09-13,1009.0875,1008.5,1009,1009,1009.6,1009.3,1009.3,1009.6,1008.4
2006-09-14,1010.2625,1010.1,1010.1,1010.5,1010.3,1010.3,1010.5,1010.4,1009.9
2006-09-15,1009.2875,1009.1,1009.3,1009.4,1009.4,1009.5,1009.4,1009.3,1008.9
2006-09-16,1009.575,1009.3,1009.7,1009.6,1009.8,1009.8,1009.6,1009.7,1009.1
2006-09-17,1009.675,1009.3,1009.8,1009.6,1009.9,1010,1009.7,1010,1009.1
2006-09-18,1011.0875,1010.9,1011,1011.1,1011.2,1011.3,1011.2,1011.3,1010.7
2006-09-19,1012.375,1012.2,1012.2,1012.4,1012.4,1012.6,1012.6,1012.6,1012
2006-09-20,1011.7125,1011.6,1011.5,1011.8,1011.7,1011.9,1011.8,1011.9,1011.5
2006-09-21,1011.35,1011.2,1011.2,1011.4,1011.4,1011.6,1011.5,1011.5,1011
2006-09-22,1011.6375,1011.4,1011.5,1011.7,1011.7,1011.9,1011.8,1011.9,1011.2
2006-09-23,1011.0125,1010.8,1010.8,1011.1,1011.1,1011.3,1011.2,1011.3,1010.5
2006-09-24,1011.125,1010.8,1010.9,1011.3,1011.2,1011.3,1011.5,1011.5,1010.5
2006-09-25,1011.525,1011.3,1011.1,1011.7,1011.5,1011.7,1012,1011.8,1011.1
2006-09-26,1010.1375,1010,1009.8,1010.3,1010,1010.3,1010.5,1010.3,1009.9
2006-09-27,1010.7875,1010.7,1010.4,1010.9,1010.7,1010.9,1011.1,1011,1010.6
2006-09-28,1011.4125,1011.3,1011.1,1011.5,1011.3,1011.6,1011.7,1011.6,1011.2
2006-09-29,1010.65,1010.5,1010.4,1010.8,1010.6,1010.9,1010.9,1010.9,1010.2
2006-09-30,1010.75,1010.5,1010.5,1010.9,1010.8,1011,1011.1,1011,1010.2
