Date,Average,Cheung Chau,Ching Pak House(Tsing Yi),Hong Kong International Airport ,Hong Kong Observatory,Tseung Kwan O,King's Park,Lau Fau Shan,Peng Chau,Tai Mei Tuk,Shek Kong,Sha Tin,Sheung Shui,Tate's Cairn,Ta Kwu Ling,Tai Mo Shan,Pak Tam Chung (Tsak Yue Wu),The Peak,Waglan Island,Wetland Park
2006-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-02,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-02-03,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-02-04,0.111111111,0,0,0,Trace,0,0,0,0,0,0,0,0,0.5,0,1,0,0.5,0,0
2006-02-05,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-10,0.026315789,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
2006-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-12,0.026315789,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
2006-02-13,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-14,3.126315789,4,2.5,1.2,4.7,5,4.5,1.5,2.5,2,1.5,3,1.5,4.5,1.5,4,4,4.5,6,1
2006-02-15,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-02-16,0.078947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
2006-02-17,0.058823529,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-02-18,1.594444444,0.5,0,0.7,Trace,0,0,6,0,0.5,3.5,0.5,5,0,4,2,0,0,0.5,5.5
2006-02-19,1.426315789,1,0.5,0.6,0.5,0.5,1,2,0.5,1,2.5,1.5,3,2,3,2,1,1,0.5,3
2006-02-20,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-22,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-23,0,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-24,0.027777778,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-02-25,0.352631579,0,0.5,0.4,0.3,2.5,0,0,0,0,0,0,0,0.5,0,0.5,0,1.5,0.5,0
2006-02-26,0.347368421,0,0.5,0.8,0.3,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,2,0,0.5,0,0
2006-02-27,12.68421053,9.5,9,12.6,11.9,12.5,12,20,5.5,9,12,11.5,21.5,13.5,19,14,13.5,10,1.5,22.5
2006-02-28,23.54736842,18,20.5,30.4,20,19.5,21,29,17.5,12,29.5,28.5,31,20,31,22,22,23.5,14.5,37.5
2006-03-01,0.036842105,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-04,0.029411765,0,0,Trace,Trace,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-05,4.083333333,1.5,3,2.6,2.4,3.5,4,3.5,1,4,5.5,***,10.5,2.5,5.5,9.5,4,2,2,6.5
2006-03-06,1.284210526,3.5,0.5,2.1,1.8,2.5,1,2,1,0.5,0.5,0,1,2,0.5,2,1,1,0,1.5
2006-03-07,0.058823529,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
2006-03-08,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-11,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-03-12,1.742105263,2.5,0.5,2.3,0.8,2,0.5,5,0,0,1,2.5,2,5,1.5,3.5,2.5,0.5,0.5,0.5
2006-03-13,5.331578947,4,7,9.7,5.1,4.5,6,4.5,4.5,2,4.5,6.5,5.5,7.5,5,4,8.5,6,2.5,4
2006-03-14,0.266666667,0,0.5,Trace,0.3,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0
2006-03-15,0.027777778,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-03-16,0.027777778,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-03-17,0.117647059,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0.5,0,1.5,0,0,0,0
2006-03-18,0.1,0,0,Trace,0.3,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0
2006-03-19,0.027777778,0,0,0,Trace,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
2006-03-20,0.058823529,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-03-21,0.058823529,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-03-22,0.277777778,0,0,0,Trace,0,0,0,0,0.5,0,0,0,0.5,0,1,0,1.5,1.5,0
2006-03-23,7.647368421,8,14,7.1,11.2,8,6.5,5.5,8.5,7,4,10.5,4.5,7.5,4,15,5.5,11,2,5.5
2006-03-24,19.25263158,17,20,21.1,15.7,14.5,21,35.5,14,12,20.5,16,33,15,25,22.5,13.5,19,10,20.5
2006-03-25,4.410526316,6.5,4,4.2,6.6,4.5,5,6,4.5,1.5,4,2.5,3.5,4.5,1.5,5.5,1.5,10,2,6
2006-03-26,2.763157895,2,3.5,3.5,3,4,2,1,3,1.5,2,4,1,5,1,4,4,6,1,1
2006-03-27,1.142105263,1,0.5,0.6,1.1,2,1.5,1.5,0.5,1,0.5,1,0.5,2,0.5,1,1,1.5,3,1
2006-03-28,0.026315789,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-30,0.055555556,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-03-31,0.088235294,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
2006-04-01,0.055555556,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-04-02,0.121052632,0,0,0.2,0.1,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5
2006-04-03,0,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-04,0.055555556,0,0,Trace,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-04-05,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-04-06,0.176470588,0,0,Trace,Trace,0,0,0.5,0,0,0,0,0.5,0,1,1,0,0,0,0
2006-04-07,0.366666667,0.5,0,1.6,Trace,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0,1.5
2006-04-08,0.078947368,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0
2006-04-09,0.422222222,0,0.5,0.1,Trace,0.5,0,1.5,0.5,0,0,0,0,0,0.5,2,1,0,0,1
2006-04-10,2.235294118,0,6,Trace,Trace,0,0,0.5,4.5,3,0,3,0,1.5,0,18.5,1,0,0,0
2006-04-11,0.147058824,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0
2006-04-12,0.352941176,0,1,Trace,Trace,0,0,0,1.5,0,0,0.5,0,0,0,3,0,0,0,0
2006-04-13,2.815789474,1,4,3.6,0.9,0.5,1.5,1.5,3,2,1.5,2,5.5,2.5,6,7.5,4.5,2,0.5,3.5
2006-04-14,0.289473684,0,0,0.4,0.1,0,0,0.5,0,0,0.5,0.5,0.5,1,0.5,1,0.5,0,0,0
2006-04-15,1.289473684,1.5,0.5,0.5,1,0.5,1,1,0.5,1,1,2.5,1.5,0.5,3.5,4.5,1.5,1,0,1
2006-04-16,0.027777778,0,0,0,Trace,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-17,0.026315789,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
2006-04-18,0.055555556,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,***,0,0,0
2006-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-20,0.247368421,0,0,0,0.2,0.5,0,0,0,0,0,0.5,0,2.5,0,0.5,0,0.5,0,0
2006-04-21,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-04-22,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-04-23,0.305555556,0,1.5,Trace,0,0,0,1,0.5,0,0,2,0,0,0,0.5,0,0,0,0
2006-04-24,43.81052632,41.5,46,5.5,109.4,116,102.5,9.5,74,10,11.5,41.5,23.5,63,29.5,26.5,58,41.5,15.5,7.5
2006-04-25,0.111111111,0,0,0,Trace,0,0,0,0,0,0.5,0,0,0.5,0,1,0,0,0,0
2006-04-26,3.242105263,0,8.5,0.1,8,6.5,5.5,2,0.5,6,0.5,15,0,1.5,0,3,0.5,2.5,0,1.5
2006-04-27,15.52631579,0.5,25.5,0.1,11.9,15,20,0,29.5,16.5,5,48.5,1,67.5,0.5,12,40,1,0,0.5
2006-04-28,73.51052632,31,110,87.2,66,78,72,43.5,56,42,78,126,78,92,77,62,123.5,69,44,61.5
2006-04-29,1.173684211,2.5,1,1.2,1.6,1.5,1.5,0.5,1.5,0,1,1,1,1,1,1,1.5,1,2,0.5
2006-04-30,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-05-01,0.078947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
2006-05-02,50.27894737,7,56.5,25.7,70.1,28.5,89.5,16,56.5,39.5,144.5,82,25,84,20.5,71,104.5,20,0,14.5
2006-05-03,87.77894737,101,79.5,115.1,108.2,86.5,105.5,83,92.5,31.5,95.5,123.5,80.5,89,84.5,111,83,97.5,17,83.5
2006-05-04,0.427777778,0,0,Trace,0.2,0,0.5,0,0,0,0,0,0,0.5,0,2,4,0,0,0.5
2006-05-05,4.322222222,0,0,Trace,1.3,13,1,0,0,0,2.5,1.5,0.5,4,0,2,51,1,0,0
2006-05-06,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-05-07,0.052631579,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0
2006-05-08,0.005263158,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-09,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-11,0.055555556,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-05-12,0.055555556,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-05-13,0.117647059,0,0,Trace,Trace,0,0,0,1,0,0,0.5,0,0,0,0.5,0,0,0,0
2006-05-14,0,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-15,0,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-16,2.378947368,2,1.5,3.1,1.6,2.5,1.5,1,1,1,4,4,2,2,2.5,3.5,6.5,2.5,1.5,1.5
2006-05-17,15.80526316,7.5,12,20.3,15,12.5,17.5,13.5,3.5,9.5,26,34,19.5,21,20.5,15.5,22.5,10.5,0.5,19
2006-05-18,0.117647059,0,0,Trace,Trace,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0
2006-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-20,1.205263158,1,0.5,1.9,1,0.5,1,1.5,1,0,1,1,2.5,1.5,1.5,3.5,0.5,1,0.5,1.5
2006-05-21,47.98421053,38.5,41,47,69.7,52.5,73,33,35,19,38,84.5,43.5,84.5,53,60.5,30,57,16.5,35.5
2006-05-22,24.35263158,20,28,16.8,22.9,28.5,23,23.5,41,17,15,30,10.5,36,14.5,34,25.5,34,22,20.5
2006-05-23,11.91578947,23,8.5,4,30.9,13,35.5,5,9,5.5,3.5,7.5,2.5,18.5,2.5,5.5,20,19,8.5,4.5
2006-05-24,2.052631579,0.5,0.5,1,0.5,1,1,2,0.5,2.5,5,3,3,1.5,9,4.5,1,0.5,0.5,1.5
2006-05-25,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2006-05-26,0.055555556,0,0,0,Trace,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-05-27,9.068421053,2,10,2.3,5.5,7.5,6,8.5,9,26,7.5,9.5,10,11,11,21,8,5.5,3.5,8.5
2006-05-28,53.16842105,66.5,55,71,59.7,47.5,66,40.5,53.5,31,63,54.5,35,62.5,30,102.5,34.5,70,29,38.5
2006-05-29,5,3.5,2,2.8,4.2,5.5,3.5,8.5,3.5,5,5,3,8,5.5,8.5,5,6,3,4.5,8
2006-05-30,8.489473684,8.5,8.5,15.3,13,11,10.5,5.5,14,4.5,4,6,7,6,6,14.5,3.5,8,8.5,7
2006-05-31,33.76315789,16,30.5,47.8,27.7,29.5,32,45,19.5,13,45,23,62,25.5,42.5,52.5,26.5,34,29.5,40
2006-06-01,30.89473684,28,28.5,27.8,33.2,54,30.5,9.5,13.5,32,25,63.5,15.5,43.5,16.5,69,29.5,43,17,7.5
2006-06-02,81.95263158,20.5,159,115.4,80.2,75,16,63.5,87.5,22.5,61.5,222,51.5,43.5,33.5,203.5,180.5,60.5,5,56
2006-06-03,4.657894737,0,5,1.4,0.6,3.5,1,1.5,2,25.5,2.5,2.5,2,0.5,2,24.5,11.5,1,0,1.5
2006-06-04,1.555555556,0,0.5,Trace,1.5,1,2,0,0,2,0.5,2,0,3,0,6,8.5,1,0,0
2006-06-05,2,0.5,2.5,Trace,Trace,1,0.5,0,1,4,6,1,0,***,2,12.5,0.5,0,0.5,0
2006-06-06,3.138888889,0,3.5,0.2,0.8,1,0.5,7,0.5,7.5,0,8,0.5,***,0.5,23,1,0.5,0,2
2006-06-07,4.023529412,0,1,Trace,0.4,0.5,0.5,17,1,2.5,1.5,0.5,8.5,***,7.5,9.5,0.5,0,0,17.5
2006-06-08,6.922222222,0.5,1.5,2.7,12.4,12,18.5,6.5,2.5,8.5,7.5,4,8,***,8,9,3,3,0,17
2006-06-09,139.2944444,73,179.5,151.1,136.7,125,159.5,145.5,102,18,204,171.5,167,***,177.5,156.5,189.5,131.5,41.5,178
2006-06-10,15.87058824,15.5,20.5,24.9,26.4,24,24.5,12.5,10,***,11,14,10.5,***,7,0.5,15,24,16,13.5
2006-06-11,6.705882353,11.5,11,3.5,9.5,9,9,2,7.5,***,4,9.5,2.5,***,2,8,9.5,10,2.5,3
2006-06-12,13.32631579,17,9,20.8,9.4,15,10,11,11.5,5.5,19,9.5,19,2,22,14.5,11,15.5,16,15.5
2006-06-13,38.78947368,29.5,53,15.8,65.2,15.5,75.5,23,31,25,33,69.5,23,95.5,17,58,28,49.5,2.5,27.5
2006-06-14,1.272222222,1.5,2.5,Trace,0.4,1,0,0,2,0,0.5,5,0.5,0.5,1,5.5,2.5,0,0,0
2006-06-15,0.963157895,0,2,1.1,0.2,4,0,1,0,1,0,1.5,1,0,1,4,0,0.5,0.5,0.5
2006-06-16,1.116666667,0.5,0,Trace,0.1,0.5,0,0,0,0.5,0.5,1.5,8,1,4.5,2,0,0.5,0,0.5
2006-06-17,0,0,0,Trace,Trace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-18,5.441176471,0,6.5,Trace,Trace,0,0,1,1,5,0,25.5,16.5,2,21,0.5,0.5,0,0,13
2006-06-19,8.226315789,14,19,4.2,0.6,1,0,18.5,19.5,0.5,18.5,2.5,9.5,2.5,3.5,3,2,4.5,1.5,31.5
2006-06-20,9.323529412,0.5,17,Trace,Trace,3,0,17.5,0,2.5,16.5,4,14.5,0,32,22,0,2,0,27
2006-06-21,3.916666667,1,1,Trace,10,11.5,0,17.5,0,0,1.5,0,0,2,0,1,0,3,4.5,17.5
2006-06-22,10.04210526,2,22.5,0.9,10.4,6.5,0,0,2,8,30,5,8.5,20.5,20,30.5,0.5,2,0,21.5
2006-06-23,0.868421053,0.5,10,0,1,0,0,0,0,0,0,0,0,0.5,0,1,0,3.5,0,0
2006-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-25,0.478947368,0,0,6.6,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0
2006-06-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-27,1.394444444,0.5,0,Trace,0.1,6.5,0,1.5,0,0.5,0,3,0,5.5,0,1,5.5,1,0,0
2006-06-28,30.03684211,52.5,44,38.2,51,25.5,0,40.5,32.5,6.5,34,29.5,22,29.5,9,42.5,13,59,0,41.5
2006-06-29,9.133333333,6,3,13.8,16.6,1.5,10,16,12.5,5.5,8,4.5,13,8,18,10.5,3.5,4.5,***,9.5
2006-06-30,3.355555556,3,2.5,11.9,2.5,3.5,3,0.5,0,1.5,4,3,12.5,0.5,4.5,3.5,2,0.5,***,1.5
2006-07-01,1.966666667,0,4,Trace,2.9,3.5,2,0,0,0,0,2,0,3,6,1,3,7,0,1
2006-07-02,5.573684211,0.5,4.5,0.1,5.3,17,4.5,4.5,1,5,1,8.5,10,20.5,5.5,7,0,6,0.5,4.5
2006-07-03,3.889473684,5.5,1.5,1.6,6.3,3,6.5,0,3.5,0,0,16.5,2,9,10.5,2,2,1.5,1,1.5
2006-07-04,13.86315789,4.5,10,20.1,14.8,18,14.5,22,16,9.5,12.5,17.5,6.5,19,9.5,17.5,13.5,17.5,3.5,17
2006-07-05,2.210526316,1,0,6,1.5,3,0.5,1.5,0.5,1.5,7,1.5,2,5.5,0,1.5,2,1,2,4
2006-07-06,3.215789474,1,7.5,0.1,2,7,2.5,2.5,8.5,1,0,6,0,5,0,7.5,4.5,3.5,2,0.5
2006-07-07,2.622222222,0,4,Trace,3.2,10,5.5,0,1,1.5,0,0,0,6,1.5,1.5,2.5,1,9.5,0
2006-07-08,21.67368421,8,16,2.8,19.5,41.5,25.5,13,35,5,15.5,36.5,7,60.5,7.5,22.5,48,27,0,21
2006-07-09,12.78421053,4,13,5.9,7,34,5.5,9.5,11.5,7.5,14,10,8.5,10.5,22.5,1,50,24.5,0,4
2006-07-10,19.61578947,3.5,12,0.9,6.8,10.5,2.5,0.5,5,31.5,45,19,35,46.5,35.5,50,43.5,5.5,0,19.5
2006-07-11,25.61111111,13,73.5,32.2,32.3,15,34,3.5,44,***,21,44,3.5,41,5,47.5,34,9.5,2,6
2006-07-12,0.027777778,0,0,0,0,0,0,0,0,***,0.5,0,0,0,0,0,0,0,0,0
2006-07-13,0.0625,0,0,Trace,Trace,0,0,0,0,***,0,0,0,0,0.5,0.5,0,0,0,0
2006-07-14,1.658823529,0.5,0,Trace,0.2,0.5,0,0.5,0,***,0,2.5,7,1.5,8,1.5,5,0.5,0,0.5
2006-07-15,13.68333333,3.5,12,3.3,7,11,9,10.5,3,***,6,43,16,35,25.5,18.5,26.5,6.5,0.5,9.5
2006-07-16,111.4666667,157.5,104.5,67.3,195.6,155.5,180,25.5,109,***,96,111,73.5,127.5,108.5,93.5,129.5,187,48.5,36.5
2006-07-17,3.194444444,0,0,0.7,5.3,3,5.5,2,0,***,0,9,3,2.5,7.5,6.5,1,3.5,0.5,7.5
2006-07-18,0.329411765,0,0,0.1,Trace,0,0,2.5,0,***,0,0,0,0,0,1,0.5,0,0,1.5
2006-07-19,0.03125,0,0,Trace,Trace,0,0,0,0,***,0,0,0,0,0.5,0,0,0,0,0
2006-07-20,0,0,0,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0
2006-07-21,0,0,0,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0
2006-07-22,0.027777778,0,0,0,0,0,0,0,0,***,0,0,0,0,0,0.5,0,0,0,0
2006-07-23,0,0,0,0,Trace,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0
2006-07-24,5.061111111,0,0,0,10.1,21,14.5,0,0,***,0,0,14.5,7,5,3,0,15.5,0.5,0
2006-07-25,0.088235294,0,0,0,0,0,0,0,0,***,0,1,0,***,0,0.5,0,0,0,0
2006-07-26,10.88823529,0,0,0.1,Trace,0,0,37,0,***,21,2,38,0,34.5,3.5,3.5,0,1.5,44
2006-07-27,57.90555556,68.5,51.5,77.5,72.8,55,64,39,51.5,***,45,51,44.5,85,34,55.5,62,85.5,54,46
2006-07-28,72.15,29,78.5,28.1,85.6,104.5,79,13.5,31,***,62.5,130,108,106,122.5,109,71,94.5,22,24
2006-07-29,63.69444444,44.5,51.5,29.3,87.2,93,86,32,40.5,***,62.5,83.5,53.5,97.5,64,82.5,99.5,69.5,30,40
2006-07-30,3.676470588,***,1.5,4.2,3.8,4.5,4,0.5,1.5,***,1,5,0,11.5,1.5,4,5.5,3.5,10,0.5
2006-07-31,0.117647059,0,0,0,Trace,0,0,0,0,***,0,0,0,0,0,0.5,0,1.5,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0
2006-08-02,20.73888889,14,18,14.3,26,15,25.5,18,8.5,***,38,31.5,18.5,19,17,30.5,16,29.5,12,22
2006-08-03,68.63333333,41.5,24.5,102.7,54.2,56.5,66,55,25.5,***,142.5,97,97.5,80,84.5,105.5,50,64,1.5,87
2006-08-04,20.25555556,15,14,31.6,18,9.5,18,24.5,17.5,***,27,17,29,16,33.5,35.5,13.5,14.5,0.5,30
2006-08-05,16.49444444,13,38.5,63.5,5.9,4.5,7,22,6,***,21,9,15.5,4.5,6.5,9.5,0.5,34,0,36
2006-08-06,26.96111111,58.5,7.5,23.2,4.6,24,6.5,42.5,8.5,***,20,44,31.5,48,38,31,41,15.5,1.5,39.5
2006-08-07,0.727777778,0,0,0,0.1,0,0,0,0,***,0,0,0,1.5,10.5,1,0,0,0,0
2006-08-08,0.183333333,0,0,0.3,0,0,0,0,0,***,0.5,0,0,0,2,0.5,0,0,0,0
2006-08-09,4.75,1,2,Trace,Trace,7.5,0,0,21,***,0,4.5,8,0,14.5,3,14,0,0.5,0
2006-08-10,30.86111111,21.5,22.5,32.9,45.6,31,35,55,15.5,***,32.5,38,51,25,46,19.5,15,11.5,7.5,50.5
2006-08-11,6.311111111,5,3.5,8.4,3.7,4,5,2.5,4,***,6,7,6.5,8,11,12,11.5,8.5,3.5,3.5
2006-08-12,0.441176471,0,1.5,0,Trace,0,0,0,0,***,0,0.5,0.5,0,2,2,0.5,0.5,0,0
2006-08-13,0,0,0,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0
2006-08-14,0,0,0,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0
